"Original Search Term","Is identified","Original Product Cost ($USD)","Shipping From","AID","Product Title","Description","UPCs","EANs","ASIN","Parent ASIN","Recommended","Recommended in Amazon US","Recommended in eBay US","Recommended in Walmart US","Is identified in Amazon US","Identification type Amazon US","Amazon US ASIN","Shipping to US by:","Shipping cost to US","Amazon US Total Sales (CAD)","Amazon US Estimated Unit Sales Per Month","Amazon US Price (CAD)","Amazon US Buy Box Price (CAD)","Amazon US Seller Offer : Id","Amazon US Seller Offer : Name","Amazon US Seller Offer : Price","Amazon US Seller Offer : Is Prime Eligible","Amazon US Seller Offer : Is Buy Box Winner","Offered by Amazon US","Amazon US is FBA","Amazon US Listing URL","Amazon US Demand","Amazon US % Profit","Amazon US Local Category Name","Amazon US Local Amazon Rank","Amazon US Local Sub Category Name","Amazon US Local Sub Category Rank","Amazon US Offerings","Amazon US % Profit","Amazon US Profit (CAD)","Amazon US Market fee (CAD)","Amazon US FBA fee (CAD)","Amazon US Tax (CAD)","Amazon US Insights","Is identified in eBay US","Identification type eBay US","eBay US eBay Item ID","Shipping to US by:","Shipping cost to US","eBay US Total Sales (CAD)","eBay US Estimated Unit Sales Per Month","eBay US Price (CAD)","eBay US Seller Offer : Id","eBay US Listing URL","eBay US Demand","eBay US % Profit","eBay US % Profit","eBay US Profit (CAD)","eBay US Market fee (CAD)","eBay US PayPal fee (CAD)","eBay US Tax (CAD)","eBay US Insights","Is identified in Walmart US","Identification type Walmart US","Walmart US Walmart Item ID","Shipping to US by:","Shipping cost to US","Walmart US Total Sales (CAD)","Walmart US Estimated Unit Sales Per Month","Walmart US Price (CAD)","Walmart US Seller Offer : Name","Walmart US Seller Offer : Price","Walmart US Listing URL","Walmart US Demand","Walmart US % Profit","Walmart US % Profit","Walmart US Profit (CAD)","Walmart US Market fee (CAD)","Walmart US Tax (CAD)","Walmart US Insights","Brand Name","Model","Color","Width (inch)","Height (inch)","Length (inch)","Weight (pound)","Package Width (inch)","Package Height (inch)","Package Length (inch)","Package Weight (pound)","Package Origin","Size","Enhanced Data: Part Number","Enhanced Data: Release Date","Enhanced Data: Actors","Enhanced Data: Artists","Enhanced Data: Aspect Ratio","Enhanced Data: Audience Rating","Enhanced Data: Bluray Region","Enhanced Data: Contributors","Enhanced Data: Directors","Enhanced Data: Display Size","Enhanced Data: Edition","Enhanced Data: Esrb Age Rating","Enhanced Data: Formats","Enhanced Data: Genre","Enhanced Data: Hardware Platform","Enhanced Data: Is Adult Product","Enhanced Data: Is Autographed","Enhanced Data: Is Memorabilia","Enhanced Data: Label","Enhanced Data: Content Languages","Enhanced Data: Manufacturer Maximum Age","Enhanced Data: Manufacturer Minimum Age","Enhanced Data: Material Types","Enhanced Data: Number Of Discs","Enhanced Data: Number Of Items","Enhanced Data: Number Of Pages","Enhanced Data: Operating Systems","Enhanced Data: Pegi Rating","Enhanced Data: Platforms","Enhanced Data: Publication Date","Enhanced Data: Publisher","Enhanced Data: Running Time","Enhanced Data: Scent","Enhanced Data: Studio","Enhanced Data: Theatrical Release Date","Image URL"
"65935204657","true","1.0","US","Could not identify the product from a valid resource","Badder Santa [The Unrated Version]","All items ship Monday - Friday - Fast Shipping in a secure bubble mailer. 4-9 business day delivery. 97 % + We ship same or next business day. Shipping transit days depend on distance from our California location & pse keep track of bad weather, can cause delays. We use an expeditor as well as direct drops at US Postal Service twice daily Pacific Time. End delivery is always US Postal Service. Customer service in the California / United States Only, Pacific Time M - F. New in original shrink wrap and or security strip.","[65935204657;065935204657]","[0065935204657]",,,"true","true","true","true","true","ID","B00024W1E2",,,"613.49","80","9.82","10.96",,,,,,"No","true","https://www.amazon.com/dp/B00024W1E2","MEDIUM","30.0","Dvd","45318","Dvd","45318","12","30.0","2.98","5.83","3.94","0.00","Listing price includes shipping","true","ID","134112707772",,,"0.0","0","4.69","greenstreetbooks","https://www.ebay.com/itm/Badder-Santa-The-Unrated-Version-/134112707772","MEDIUM","68.0","68.0","3.17","0.00","0.53","0.00",,"true","ID","177851910",,,"0.0","0","20.20",,,"https://www.walmart.com/ip/177851910","MEDIUM","80.0","80.0","16.16","3.03","0.00","Cross channel competition",,,,,,,,,,,"0.00","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved",
"843338100130","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43396039506","true","1.0","US","Could not identify the product from a valid resource","Beverly Hills Ninja DVD 1997 Chris Farley Chris Rock Nicolette Sheridan SEALED","Beverly Hills Ninja DVD 1997 Chris Farley Chris Rock Nicolette Sheridan SEALED. Condition: Brand New / Unopened (Sealed) - No Flaws On Case Or Cover Art - Sealed On All Sides / With Sticker Still Attached - Unused / Brand New Next Business Day Shipping !! Thank You For Shopping","[43396039506;043396039506]",,,,"false",,"false","false","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","165593320036","USPS","3.76","11.24","1","8.98","alexwil-6826","https://www.ebay.com/itm/Beverly-Hills-Ninja-DVD-1997-Chris-Farley-Chris-Rock-Nicolette-Sheridan-SEALED-/165593320036","UNAVAILABLE","28.0","28.0","2.51","0.00","0.64","0.00",,"true","ID","1088101","USPS","3.76","0.0","0","12.83",,,"https://www.walmart.com/ip/1088101","UNAVAILABLE","40.0","40.0","5.07","1.93","0.00",,,,,,,,,"4.0","4.0","7.0","0.50","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/MTA4MFgxMDgw/z/PHMAAOSw5Qdi3L~v/$_12.JPG?set_id=880000500F"
"627735064581","false","1.0","US","Could not identify the product from a valid resource",,"YFY Natürliche Bambus Rollen Fenster blind, Restaurant Sonnenschutz Privatsphäre Partition Rollo Heben Reed Vorhang, Wanddekoration Vintage Gras Vorhang, anpassbar (Size : 100x120cm/39x47in)","[627735064581]","[0627735064581]","B098DZCN98","B098F39WD4","false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"YFY",,,,,,"2.20",,,,,,"100x120cm/39x47in","YFY","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","YFY","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","YFY","Data could not be retrieved","Data could not be retrieved","YFY","Data could not be retrieved","https://m.media-amazon.com/images/I/51gEJGTwj1S.jpg"
"627735114286","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25195014427","true","1.0","US","Could not identify the product from a valid resource","Blue Crush Honey Josie And The Pussycats DVD Brand New Buy 2 Get 1 Free","Brand New Sealed.  Buy 2 Get 1 Free Please place all 3 items in your cart before purchasing and the discount will proceed automatically, If not I will manually process the refund on my end. I will ship this item out via USPS with a tracking number for confirmation I will ship this item out via USPS with a tracking number for confirmation I also offer combined shipping at a discounted rate I ship items out EVERY DAY so EXPECT a QUICK delivery! Please feel free to ask any questions you may have I answer most questions instantly! ","[25195014427;025195014427]",,,,"false",,"false","false","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","363912395672","USPS","6.86","0.0","0","9.25","nostalgic_goodies","https://www.ebay.com/itm/Blue-Crush-Honey-Josie-And-Pussycats-DVD-Brand-New-Buy-2-Get-1-Free-/363912395672","UNAVAILABLE","-13.0","-13.0","-1.22","0.00","0.66","0.00",,"true","ID","5854416","USPS","6.86","0.0","0","19.24",,,"https://www.walmart.com/ip/5854416","UNAVAILABLE","34.0","34.0","6.54","2.89","0.00",,,,,,,,,"4.0","4.0","7.0","1.00","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/MTYwMFg3MjA=/z/QiIAAOSwcXpizj8R/$_57.JPG?set_id=880000500F"
"660743429722","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31398145905","true","1.0","US","Could not identify the product from a valid resource","New DVD - DEVILS DOUBLE - Dominic Cooper, ""Black Prince"" Uday Hussein ","Based on a gripping, unbelievable true story of money, power and opulent decadence, Lionsgate’s THE DEVIL’S DOUBLE takes a white- knuckle ride deep into the lawless playground of excess and violence known as Baghdad, 1987. Summoned from the frontline to Saddam Hussein's palace, Iraqi army lieutenant Latif Yahia (Dominic Cooper) is thrust into the highest echelons of the ""royal family"" when he’s ordered to become the ‘fiday’ – or body double – to Saddam's son, the notorious ""Black Prince"" Uday Hussein (also Dominic Cooper), a reckless, sadistic party-boy with a rabid hunger for sex and brutality. With his and his family’s lives at stake, Latif must surrender his former self forever as he learns to walk, talk and act like Uday. But nothing could have prepared him for the horror of the Black Prince’s psychotic, drug-addled life of fast cars, easy women and impulsive violence. With one wrong move costing him his life, Latif forges an intimate bond with Sarrab (Ludivine Sagnier), Uday's seductive mistress who’s haunted by her own secrets. But as war looms with Kuwait and Uday’s depraved gangster regime threatens to destroy them all, Latif realizes that escape from the devil’s den will only come at the highest possible cost.","[31398145905;031398145905]",,,,"false",,"false","false","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","124424452679",,,"7.34","0","9.49","sterlinghouseclassic","https://www.ebay.com/itm/New-DVD-DEVILS-DOUBLE-Dominic-Cooper-Black-Prince-Uday-Hussein-/124424452679","UNAVAILABLE","83.0","83.0","7.82","0.00","0.66","0.00",,"true","ID","17134375",,,"0.0","0","25.87",,,"https://www.walmart.com/ip/17134375","UNAVAILABLE","81.0","81.0","20.99","3.88","0.00",,,,,,,,,,,,"0.00","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/MTUwMFgxMDc3/z/KvMAAOSw9YNZstHv/$_1.JPG?set_id=8800005007"
"8809466649776","true","1.0","US","AIDFPCF71001","Spigen Crystal Shell Designed Google Pixel XL Case (2016) - Clear Crystal","Spigen Crystal Shell Designed Google Pixel XL Case (2016) - Clear Crystal","[8809466649776]","[8809466649776]","B01LZGCH8M","B07BXCSDTK","false","false","false",,"true","ID","B01LZGCH8M","USPS","3.37","0.0","0",,,,,,,,,,"https://www.amazon.com/dp/B01LZGCH8M?th=1&psc=1","LOW",,"Wireless","391517","Basic Cases","188018",,,,,,,"Out of Stock listing","true","keywords","294834320717","USPS","3.37","12.95","1","16.64",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=294834320717","LOW","57.0","57.0","9.44","1.00","0.87","0.00","Listing identified using keywords","false",,,,,,,,,,,,,,,,,,"Spigen","F15CS20912","Clear Crystal","3.18","0.45","6.33","0.06","3.8","0.6","8.1","0.10","OFFICIAL","XL","F15CS20912","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","{""value"":5.5,""unitType"":""inches""}","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","[""Thermoplastic Polyurethane"",""Polycarbonate""]","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","Data could not be retrieved","Spigen, Inc.","Data could not be retrieved","https://m.media-amazon.com/images/I/41Az9D2bMfL.jpg"
"85391698623","true","1.0","US","Could not identify the product from a valid resource","Three to Tango (DVD, 2000, Widescreen/Full Screen) NEW","Three to Tango (DVD, 2000, Widescreen/Full Screen) NEW Don't Forget To Check Out All Our Other DVD / Blu-Ray / TV Show Listings! Your mom loves Free Shipping.  Say what? Yep you heard us. You know she does, we know she does, that’s why it’s free.  Let us break this down for you. You order 2 items, Yep, Free Shipping. You order 4 items, guess what, shipping is $100,  just kidding, still free shipping. We are more than happy to give larger discounts on shipping, but come on, we are no math geniuses, but we are sure you know 75% off free, is still free. Getting your items out within 1 business day is always our goal.  Your mom wants it shipped out fast, and so do we. Our Economy shipping is Free.  We know, you're not always in a hurry to get your stuff, and you want the best price, so economy goes via media mail.  We do have a expedited option, for about the price of a soda, that would get your item sent via First Class mail, that’s right, we ain’t using no second class, or third class like some people on the Titanic.  If you do get a soda instead of paying for First Class shipping, just know, more than likely you won’t receive it before your done drinking your soda. Everyone loves tracking, especially your mom.  We put tracking on everything. Almost all our items are shipped via USPS (hats off to you USPS Man for taking our items cross country for about the price of a gallon a gas).  I know I can’t drive it to you on only a gallon of gas so we leave it up to them to figure out how to do that. Once it is shipped, eBay will email you the tracking number that is like 4 million digits long and if memorized will bring you great knowledge just like Thanos (but please don’t snap your fingers).  This number, when punched into the USPS website, will give you all kinds of info, but once in a blue moon they do miss a scan. (Come on USPS, be more reliable scanning those 600 million pieces of mail a day) I'm only kidding, but we do have to cut them some slack sometimes and wait until your media arrives at the next city to get scanned. Your mom doesn’t want to come here.  So guess what, we will ship your item for free, so you don’t have to come pick it up.  It’s a warehouse. It’s a big metally thing, with nothing pretty about it. We barely enjoy coming here, but for you, we will.  So let us concentrate on what we do best, and that’s shipping your stuff for free. Returns Happen.  We get it. Big Thank You to you because, if you have a return, that means you're our customer.  If you don’t want it for any reason, then quite frankly, we don’t want you to have it. So when you want to return something, please send us a message through ebay before opening a request, we are here to take care of it as quickly as possible.","[85391698623;0085391698623;085391698623]","[085391698623;0085391698623]",,,"false","false","false","false","true","ID","B00003CX77",,,"87.36","11","10.11","10.91",,,,,,"Data not available","true","https://www.amazon.com/dp/B00003CX77","LOW","26.0","Dvd","108552","Dvd","108552","17","26.0","2.60","6.51","3.94","0.00","Listing price includes shipping","true","ID","402559017030",,,"0.0","0","7.03","yourmomlovesmedia","https://www.ebay.com/itm/Three-Tango-DVD-2000-Widescreen-Full-Screen-NEW-/402559017030","LOW","77.0","77.0","5.43","0.00","0.59","0.00",,"true","ID","1074897",,,"0.0","0","23.11",,,"https://www.walmart.com/ip/1074897","LOW","81.0","81.0","18.64","3.47","0.00",,,,,,,,,,,,"0.50","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/NTAwWDM0NA==/z/9DkAAOSwKIBfsoww/$_1.JPG?set_id=8800005007"
"736211425218","true","1.0","US","AIDGYO9Z7001","Shooting The Sacred Cows Of Money","Shooting The Sacred Cows Of Money","[736211425218]","[0736211425218]","B003XXGA3M",,"false","false","false","false","true","ID","B003XXGA3M","USPS","3.37","27.82","4","8.31","8.98","A1HJODZUGZWMUI","Media Zoom","8.98","true","true","No","true","https://www.amazon.com/dp/B003XXGA3M","LOW","-32.0","Dvd","245160","Dvd","245160","25","-32.0","-2.62","5.60","3.94","0.00","Listing price includes shipping","true","keywords","383315830891","USPS","3.37","0.0","0","6.82",,"https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5337909775&customid=algopix-web&lgeo=1&vectorid=229466&item=383315830891","LOW","4.0","4.0","0.30","0.62","0.58","0.00","Listing identified using keywords","true","ID","244350846","USPS","3.37","0.0","0","11.54",,,"https://www.walmart.com/ip/244350846","LOW","39.0","39.0","4.47","1.73","0.00",,,,,"5.0","8.0","0.5","0.19","5.3","0.6","7.5","0.10","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Rich Dad","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","1","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Rich Dad","Data could not be retrieved","Data could not be retrieved","Rich Dad","Data could not be retrieved","https://m.media-amazon.com/images/I/51sRKxa15ML.jpg"
"843338100130","false","1.0","US","Could not identify the product from a valid resource",,,,,,,"false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"85391247524","true","1.0","US","Could not identify the product from a valid resource","Lethal Weapon 3 (DVD, Widescreen/Full Screen) NEW","Lethal Weapon 3 (DVD, Widescreen/Full Screen) NEW Don't Forget To Check Out All Our Other DVD / Blu-Ray / TV Show Listings! Your mom loves Free Shipping.  Say what? Yep you heard us. You know she does, we know she does, that’s why it’s free.  Let us break this down for you. You order 2 items, Yep, Free Shipping. You order 4 items, guess what, shipping is $100,  just kidding, still free shipping. We are more than happy to give larger discounts on shipping, but come on, we are no math geniuses, but we are sure you know 75% off free, is still free. Getting your items out within 1 business day is always our goal.  Your mom wants it shipped out fast, and so do we. Our Economy shipping is Free.  We know, you're not always in a hurry to get your stuff, and you want the best price, so economy goes via media mail.  We do have a expedited option, for about the price of a soda, that would get your item sent via First Class mail, that’s right, we ain’t using no second class, or third class like some people on the Titanic.  If you do get a soda instead of paying for First Class shipping, just know, more than likely you won’t receive it before your done drinking your soda. Everyone loves tracking, especially your mom.  We put tracking on everything. Almost all our items are shipped via USPS (hats off to you USPS Man for taking our items cross country for about the price of a gallon a gas).  I know I can’t drive it to you on only a gallon of gas so we leave it up to them to figure out how to do that. Once it is shipped, eBay will email you the tracking number that is like 4 million digits long and if memorized will bring you great knowledge just like Thanos (but please don’t snap your fingers).  This number, when punched into the USPS website, will give you all kinds of info, but once in a blue moon they do miss a scan. (Come on USPS, be more reliable scanning those 600 million pieces of mail a day) I'm only kidding, but we do have to cut them some slack sometimes and wait until your media arrives at the next city to get scanned. Your mom doesn’t want to come here.  So guess what, we will ship your item for free, so you don’t have to come pick it up.  It’s a warehouse. It’s a big metally thing, with nothing pretty about it. We barely enjoy coming here, but for you, we will.  So let us concentrate on what we do best, and that’s shipping your stuff for free. Returns Happen.  We get it. Big Thank You to you because, if you have a return, that means you're our customer.  If you don’t want it for any reason, then quite frankly, we don’t want you to have it. So when you want to return something, please send us a message through ebay before opening a request, we are here to take care of it as quickly as possible.","[85391247524;085391247524]",,,,"false",,"false","false","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","133578188774",,,"420.92","84","6.41","yourmomlovesmedia","https://www.ebay.com/itm/Lethal-Weapon-3-DVD-Widescreen-Full-Screen-NEW-/133578188774","UNAVAILABLE","75.0","75.0","4.84","0.00","0.57","0.00",,"true","ID","1080489",,,"0.0","0","18.62",,,"https://www.walmart.com/ip/1080489","UNAVAILABLE","80.0","80.0","14.83","2.79","0.00",,,,,,,,,"5.0","0.0","7.0","0.50","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/MTE1MFgxMDU4/z/0KkAAOSwFHBfso68/$_12.JPG?set_id=880000500F"
"65935142065","true","1.0","US","Could not identify the product from a valid resource","The Lord of the Rings: The Fellowship of the Ring Two DVD Set Brand New Sealed","The Lord of the Rings: The Fellowship of the Ring Two DVD Set Brand New Sealed Check out my eBay store!! Thank you for stopping by and taking a look. Hopefully you saw something you couldn’t live without!! *All of the items I post are mainly from Estate Sales and/or Storage Auctions. *Most of the game cases may have wear and/or stickers on them but please know that ALL items are wiped down and cleaned. All items are posted from a non-smoking household. *Please look at all the pictures and message if you have any questions. **NEW DVDS AND CDS ADDED WEEKLY!!** Check back often. We will combine shipping if you purchase multiple items.!","[65935142065;065935142065;794043541322]",,,,"false",,"false","false","false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","ID","125162227784",,,"512.49","58","11.27","shelliloves","https://www.ebay.com/itm/Lord-Rings-Fellowship-Ring-Two-DVD-Set-Brand-New-Sealed-/125162227784","UNAVAILABLE","85.0","85.0","9.56","0.00","0.71","0.00",,"true","ID","1795812",,,"0.0","0","21.98",,,"https://www.walmart.com/ip/1795812","UNAVAILABLE","80.0","80.0","17.68","3.30","0.00",,,,,,,,,,,,"0.00","OFFICIAL",,"Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/HSMAAOSwPXhiFKJ5/$_57.JPG?set_id=8800005007"
"680813009966","false","1.0","US","AIDR93VOC001","SNUNGPHIR 2 Pack Screen Protector, 1706H Hardness Full Screen Tempered Glass, Anti-Scratch, Anti-Fingerprint, Bubble Free, High Definition","SNUNGPHIR 2 Pack Screen Protector, 1706H Hardness Full Screen Tempered Glass, Anti-Scratch, Anti-Fingerprint, Bubble Free, High Definition","[680813009966]","[0680813009966]","B08KD1VRDT",,"false",,,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"false",,,,,,,,,,,,,,,,,,"SNUNGPHIR",,,,,,,,,,,,,"TEMPN9","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","SNUNGPHIR","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","Data could not be retrieved","SNUNGPHIR","Data could not be retrieved","Data could not be retrieved","SNUNGPHIR","Data could not be retrieved","https://m.media-amazon.com/images/I/31F2DQPbGNL.jpg"
